Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,buildings,II Park Heights,31-03-2020,Mashreq Bank (Public Joint Stock Company),2,success,25-07-2017,Dubai Hills Estate,557,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Caliro,10-01-2019,Abu Dhabi Commercial Bank,0,success,01-11-2014,DAMAC HILLS,0,0,Al Hebiah Third,
Dubai Municipality,FINISHED,Dubai Multi Commodities Centre,buildings,Lake View,04-02-2009,#VALUE!,1,success,20-05-2006,Jumeirah Lakes Towers,546,0,Al Thanyah Fifth,
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),buildings,The Bay,31-12-2026,Commercial Bank of Dubai (P.S.C.),1,effective,10-11-2022,Dubai Harbour,448,0,Marsa Dubai,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Manhattan 1 Bay SD,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-11-2023,Jumeirah Village Circle,193,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Rooftop houses Marassi Drive,,Commercial Bank of Dubai (P.S.C.),1,effective,01-07-2024,Business Bay,811,0,Business Bay,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Elitz from Danube,31-12-2025,Commercial Bank of Dubai (P.S.C.),2,effective,01-05-2023,Jumeirah Village Circle,592,0,Al Barsha South Fourth,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Vita Grande by Meteora,01-08-2025,Abu Dhabi Commercial Bank,1,effective,24-06-2023,Jumeirah Village Circle,121,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Celine by Vision,01-02-2026,National Bank of Fujairah PJSC,1,effective,25-11-2024,Liwan1,104,0,Wadi Al Safa 2,
Dubai South,NOT_STARTED,Emaar Dubai South DWC LLC,buildings,Golf Deal,31-12-2028,Abu Dhabi Commercial Bank,3,under construction,23-05-2025,Dubai World Central,200,0,Madinat Al Mataar,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Red Square,,First Abu Dhabi Bank PJSC,2,effective,01-01-2024,Jumeirah Village Triangle,835,0,Al Barsha South Fifth,
Licenses,PENDING,Nakheel Company (P.S.C.),villas,PURE TOWN,22-10-2026,Mashreq Bank (Public Joint Stock Company),0,Under registration,23-06-2025,Jumeirah Village Circle,0,13,Al Barsha South Fourth,
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,The best high tower,01-11-2026,Emirates Islamic Bank Public Joint Stock Company,2,effective,01-11-2024,Mohammed Bin Rashid AL Maktoum District 11,88,0,Wadi Al Safa 3,
Dubai Municipality,ACTIVE,Damac Crescent Properties (LLC),Villa complex,Damac Riverside - Evie,31-12-2027,First Abu Dhabi Bank PJSC,0,effective,24-09-2024,,0,580,Dubai Investment Park Second,
Dubai Development Authority,ACTIVE,Dubai Harbour Community LLC,buildings,Dubai Harbour Residences (Zone 1),14-01-2028,Emirates NBD Bank (P.S.C.),2,effective,07-02-2025,Dubai Harbour,217,0,Marsa Dubai,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Sunrise Legend,19-08-2021,Mashreq Bank (Public Joint Stock Company),1,success,24-05-2018,Arjan,112,0,Al Barshaa South Third,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Olaya Residences,31-12-2027,First Abu Dhabi Bank PJSC,1,effective,08-08-2023,Palm Jumeirah,149,0,Palm Jumeirah,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Adhara Star,10-03-2025,Emirates NBD Bank (P.S.C.),1,effective,15-05-2023,Arjan,115,0,Al Barshaa South Third,
Dubai Development Authority,FINISHED,Front Line Investment Management LLC,villas,Damac Hills (2) - Aqualigia,29-08-2022,Emirates NBD Bank (P.S.C.),0,success,21-11-2017,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Riviera 43,18-01-2024,Abu Dhabi Commercial Bank,1,success,23-11-2020,Meydan One Community,293,0,Al Merkadh,
Licenses,ACTIVE,The world (LLC),buildings,The Heart of Europe,30-09-2022,Dubai Islamic Bank (Public Joint Stock Company),0,effective,20-04-2015,The World,0,10,World Islands,
Dubai Development Authority,FINISHED,Jumeirah Bay Residential LLC,Villa complex,Villa Amalfi,15-12-2021,Dubai Islamic Bank (Public Joint Stock Company),0,success,01-03-2019,Jumeira Bay,0,68,Island 2,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Jad Residence,06-10-2009,#VALUE!,1,success,28-08-2007,Silicon Oasis,97,0,Nadd Hessa,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Equity Apartments,31-12-2022,Emirates Islamic Bank Public Joint Stock Company,1,success,10-04-2021,International City Phase 3,135,0,Warsan Fourth,
Dubai Municipality,PENDING,Expo City Real Estate Development LLC,buildings,Expo City Valley Apartments,30-06-2029,Dubai Islamic Bank (Public Joint Stock Company),0,Under registration,01-07-2026,Dubai World Central,0,0,Madinat Al Mataar,
Licenses,FINISHED,Jumeirah Golf Estates LLC,villas,Flam Tree Ridge,19-07-2016,#VALUE!,0,success,01-05-2008,Jumeirah Golf Estates,0,0,Me'Aisem First,
Dubai Development Authority,PENDING,Dear Developments LLC,buildings,Dear David,16-09-2027,Ajman Bank PJSC,0,Under registration,16-09-2025,Sama Al Jadaf,0,0,Al Jadaf,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),villas,Lakes? Dima 1,01-01-2003,Mashreq Bank (Public Joint Stock Company),0,success,01-01-2000,Lakes - Deema 1,0,65,Al Thanyah Third,
Dubai Development Authority,NOT_STARTED,Damac Elite Investments LLC,villas,1 Damac Islands - Seychelles,30-06-2029,Emirates NBD Bank (P.S.C.),0,under construction,01-10-2025,,0,0,Al Yelayiss 1,
Dubai Municipality,FINISHED,Nakheel Company (P.S.C.),buildings,New Dubai Gate 2,08-10-2018,Ajman Bank PJSC,1,success,01-05-2005,Jumeirah Islands,453,0,Al Thanyah Fifth,
Dubai Development Authority,NOT_STARTED,Business Bay (LLC),buildings,Benghatti Skyhall,31-08-2026,First Abu Dhabi Bank PJSC,1,under construction,01-02-2025,Business Bay,728,0,Business Bay,
Dubai Development Authority,ACTIVE,Emaar Properties (P.S.C.),buildings,Elegance Tower,28-02-2026,Emirates NBD Bank (P.S.C.),1,effective,16-01-2023,DownTown Dubai,296,0,Burj Khalifa,
Licenses,FINISHED,International City (LLC),buildings,Golden Crescent Building,30-10-2017,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-12-2015,International City Phase 3,81,0,Warsan Fourth,
Dubai Municipality,FINISHED,Shoba LLC,buildings,Shoba Hartland Greens Face 3,11-01-2021,Bank of Baroda,2,success,15-10-2017,SOBHA HARTLAND,507,0,Al Merkadh,
Licenses,ACTIVE,Mina Rashid Real Estate LLC,buildings,Marina Views,31-12-2028,Emirates NBD Bank (P.S.C.),4,effective,18-12-2024,Mina Rashid,554,0,Madinat Dubai Almelaheyah,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Benghatti Phantom,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,15-02-2024,Jumeirah Village Circle,369,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),villas,Polo Houses,01-06-2014,Mashreq Bank (Public Joint Stock Company),0,success,08-04-2008,Arabian Ranches - Polo Homes,0,0,Al Hebiah Second,
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,Capital One,08-07-2028,Bank of Egypt (Dubai Branch),1,under construction,01-07-2025,Jumeirah Village Circle,128,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Dorchester Collection Dubai,01-06-2022,Ajman Bank PJSC,1,success,01-03-2018,Business Bay,57,0,Business Bay,
Dubai Development Authority,FINISHED,Dubai Land (LLC),villas,Sustainable City,27-04-2017,Emirates Islamic Bank Public Joint Stock Company,7,success,01-11-2013,THE SUSTAINABLE CITY,0,498,Wadi Al Safa 7,
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,161 Jumeirah Lane,01-03-2026,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-04-2024,Jumeirah Garden City,161,0,Al Satwa,
Dubai Development Authority,ACTIVE,Dubai Land (LLC),buildings,Living Legends Stage 7,30-09-2021,Abu Dhabi Islamic Bank,3,effective,01-06-2011,Living Legends,340,0,Wadi Al Safa 3,
Dubai Municipality,FINISHED,Dubai Multi Commodities Centre,buildings,Palladium,12-11-2007,#VALUE!,1,success,21-08-2007,Jumeirah Lakes Towers,320,0,Al Thanyah Fifth,
Dubai Municipality,FINISHED,Nakheel Company (P.S.C.),buildings,Lake City Tower,23-09-2008,#VALUE!,1,success,15-07-2008,Jumeirah Lakes Towers,443,0,Al Thanyah Fifth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Tavora Residences by JHK Heights Real Estate Development,15-12-2026,United Bank Limited (Management Office),1,effective,05-09-2024,International City Phase 3,95,0,Warsan Fourth,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,MU005&6 (QZone (QPoint-Phys3).,14-04-2020,Abu Dhabi Commercial Bank,1,success,28-12-2017,Liwan1,328,0,Wadi Al Safa 2,
Licenses,FINISHED,Al Farjan (LLC),buildings,Dear Amber,31-07-2025,Abu Dhabi Commercial Bank,1,success,23-03-2023,Al Furjan,115,0,Jabal Ali First,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Park Central Bay Iman 1,30-06-2027,Mashreq Bank (Public Joint Stock Company),1,effective,25-04-2024,Jumeirah Village Circle,526,0,Al Barsha South Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Triban Tower,01-04-2027,Emirates NBD Bank (P.S.C.),1,under construction,01-01-2025,Jumeirah Village Triangle,264,0,Al Barsha South Fifth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Western Reflection,03-02-2011,Mashreq Bank (Public Joint Stock Company),0,success,01-12-2008,Jumeirah Village Circle,0,14,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Elora,30-09-2026,Dubai Islamic Bank (Public Joint Stock Company),0,effective,27-03-2023,,0,430,Al Yufrah 1,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Parkside Hills,30-06-2028,Emirates NBD Bank (P.S.C.),1,effective,16-12-2023,Dubai Hills Estate,370,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,NOT_STARTED,Elias and Mustafa Kaldari Investment and Development Management (LLC),buildings,Dear Milan 28,03-06-2027,Commercial Bank of Dubai (P.S.C.),1,under construction,03-06-2025,City Of Arabia,629,0,Wadi Al Safa 4,
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Park Central,20-11-2013,Abu Dhabi Commercial Bank,2,success,01-03-2010,Business Bay,146,0,Business Bay,
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Villa del Brunello Residences,30-11-2027,Bank of Sharjah,1,Under registration,30-11-2025,Palm Deira,49,0,Palm Deira,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Vento Tower,,Emirates NBD Bank (P.S.C.),1,effective,01-11-2023,Business Bay,227,0,Business Bay,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,One River Point,09-06-2027,Emirates NBD Bank (P.S.C.),1,effective,24-10-2023,Business Bay,298,0,Business Bay,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Lavista 02,30-12-2010,Emirates Islamic Bank Public Joint Stock Company,1,success,17-05-2008,Silicon Oasis,128,0,Nadd Hessa,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Bhuvi Residence,15-12-2026,Bank of Baroda,1,under construction,15-01-2025,Dubai South Residential District,70,0,Madinat Al Mataar,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),buildings,Damac Hills - Golf Promenade,15-09-2019,Abu Dhabi Commercial Bank,8,success,01-08-2014,DAMAC HILLS,740,0,Al Hebiah Third,
Licenses,FINISHED,Jumeirah Park (LLC),Villa complex,Royal Park,14-09-2020,Dubai Islamic Bank (Public Joint Stock Company),0,success,23-04-2018,Jumeirah Park,0,40,Al Thanyah Fifth,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Dubai Wharf,21-12-2016,Mashreq Bank (Public Joint Stock Company),1,success,01-10-2014,Jaddaf Waterfront,124,0,Al Jadaf,
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,buildings,Brave Residence,18-10-2023,Emirates Islamic Bank Public Joint Stock Company,1,success,01-02-2021,Dubai Hills Estate,231,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Municipality,ACTIVE,Shoba LLC,buildings,Riverside Crescent 360,,Emirates NBD Bank (P.S.C.),1,effective,10-05-2024,,910,0,Bukadra,
Dubai Development Authority,PENDING,Maras Real Estate (LLC),buildings,Purevanchal Triana Residences,01-03-2027,Abu Dhabi Commercial Bank,1,Under registration,01-08-2025,Jumeirah Garden City,72,0,Al Satwa,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Neva Residences,31-12-2025,Abu Dhabi Commercial Bank,1,effective,01-01-2023,Jumeirah Village Circle,409,0,Al Barsha South Fourth,
Licenses,FINISHED,Palm Jumeirah Company (LLC),buildings,Royal Bay,06-01-2017,Abu Dhabi Commercial Bank,1,success,06-05-2015,Palm Jumeirah,91,0,Palm Jumeirah,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,A99,31-10-2026,Mashreq Bank (Public Joint Stock Company),1,effective,31-10-2023,Dubai Land Residence Complex,90,0,Wadi Al Safa 5,
Licenses,PENDING,Al Nakheelah - Deera (LLC),buildings,Blue Marina Residence by Shakirov Developments,31-10-2027,Emirates NBD Bank (P.S.C.),0,Under registration,01-05-2025,Palm Deira,0,0,Palm Deira,
Dubai South,FINISHED,Dubai Aviation City Corporation,Villa complex,Pulse Beach 3,30-04-2025,Abu Dhabi Commercial Bank,0,success,31-03-2022,Dubai South Residential District,0,291,Madinat Al Mataar,
Dubai Development Authority,FINISHED,City Walk Residential 1 LLC,buildings,"No. 6A, No. 6B City Walk Residential",07-12-2016,Noor Bank (Public Shareholding Company),2,success,18-05-2013,City Walk,68,0,Al Wasl,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,The Heaven Garden,,Abu Dhabi Commercial Bank,1,effective,15-09-2023,Jumeirah Village Circle,199,0,Al Barsha South Fourth,
Licenses,ACTIVE,Palm Jumeirah Company (LLC),Villa complex,Ayumi,01-11-2024,Commercial Bank of Dubai (P.S.C.),0,effective,01-02-2023,Palm Jumeirah,0,24,Palm Jumeirah,
Dubai Development Authority,FINISHED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Ascott Residence,01-11-2024,First Abu Dhabi Bank PJSC,1,success,01-02-2023,TOWN SQUARE,153,0,Al Yelayiss 2,
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Velora 2,31-07-2028,First Abu Dhabi Bank PJSC,0,effective,22-11-2024,,0,312,Al Yufrah 1,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R100,24-06-2014,Mashreq Bank (Public Joint Stock Company),1,success,01-06-2009,Liwan1,40,0,Wadi Al Safa 2,
Licenses,PENDING,Nakheel Company (P.S.C.),Villa complex,.,,Commercial Bank of Dubai (P.S.C.),0,Under registration,01-10-2022,The World,0,0,World Islands,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Hills Park,30-04-2026,Emirates Islamic Bank Public Joint Stock Company,1,effective,05-11-2022,Dubai Hills Estate,450,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Clarin 1,30-11-2011,Mashreq Bank (Public Joint Stock Company),3,success,06-05-2008,DownTown Dubai,321,0,Burj Khalifa,
Dubai Development Authority,ACTIVE,Harbor Real Estate LLC,buildings,Shoba Sehaven Tower A,30-04-2028,Emirates NBD Bank (P.S.C.),1,effective,01-07-2023,Dubai Harbour,330,0,Marsa Dubai,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Subha Dafoudil,20-11-2010,Mashreq Bank (Public Joint Stock Company),1,success,28-01-2008,Jumeirah Village Circle,188,0,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Expensive,28-03-2019,Abu Dhabi Islamic Bank,1,success,01-06-2014,Jumeirah Village Circle,743,0,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Savannah,30-04-2027,First Abu Dhabi Bank PJSC,1,under construction,19-12-2024,TOWN SQUARE,154,0,Al Yelayiss 2,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,III. Bulgrafia,29-12-2021,Commercial International Bank PJSC,2,success,01-06-2017,Jumeirah Village Circle,260,0,Al Barsha South Fourth,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Indigoville 1,11-02-2015,Mashreq Bank (Public Joint Stock Company),0,success,13-12-2012,Jumeirah Village Circle,0,15,Al Barsha South Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,"Bay Grove Residences, Dubai Islands",15-03-2028,First Abu Dhabi Bank PJSC,4,under construction,22-12-2024,Palm Deira,296,0,Palm Deira,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Club Drive,,Mashreq Bank (Public Joint Stock Company),2,effective,30-01-2024,Dubai Hills Estate,529,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),Villa complex,The splendor of the Emirates? Springs 4,01-01-2004,Mashreq Bank (Public Joint Stock Company),0,success,01-01-2001,Springs - 5,0,320,Al Thanayah Fourth,
Dubai Development Authority,ACTIVE,North Real Estate LLC,buildings,Damac Bay,15-01-2027,Emirates NBD Bank (P.S.C.),4,effective,15-04-2023,Dubai Harbour,1087,0,Marsa Dubai,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R046,17-01-2017,Mashreq Bank (Public Joint Stock Company),1,success,22-03-2009,Liwan1,57,0,Wadi Al Safa 2,
Licenses,FINISHED,International City (LLC),buildings,HZ4 Residences,,Emirates Islamic Bank Public Joint Stock Company,1,success,02-08-2023,International City Phase 3,87,0,Warsan Fourth,
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),villas,Cities of Hymns 8,30-09-2026,Dubai Islamic Bank (Public Joint Stock Company),0,effective,01-09-2023,Mudon,0,228,Al Hebiah Sixth,
Dubai Municipality,NOT_STARTED,Emaar Development (Public Shareholding Company),villas,Grand Polo-Silvarra 4,31-05-2029,Abu Dhabi Commercial Bank,0,under construction,02-11-2025,,0,0,Dubai Investment Park Second,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Dear Wasal,12-02-2028,Commercial Bank of Dubai (P.S.C.),1,under construction,12-02-2025,Palm Deira,227,0,Palm Deira,
Dubai Development Authority,ACTIVE,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,The Hamilton,31-10-2025,First Abu Dhabi Bank PJSC,1,effective,01-10-2023,TOWN SQUARE,242,0,Al Yelayiss 2,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),Villa complex,Villanova Amaranta,18-05-2022,Emirates NBD Bank (P.S.C.),0,success,30-01-2017,,0,561,Wadi Al Safa 5,
Licenses,FINISHED,Jumeirah Golf Estates LLC,buildings,Andalus Building E,31-08-2020,#VALUE!,0,success,01-01-2018,Jumeirah Golf Estates,89,0,Me'Aisem First,
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),Villa complex,Cities of Rhyme 4,31-05-2026,First Abu Dhabi Bank PJSC,0,effective,01-03-2023,Mudon,0,134,Al Hebiah Sixth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,My Residence,29-12-2019,Emirates NBD Bank (P.S.C.),5,success,01-01-2016,,339,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Ellington House II,30-04-2025,Abu Dhabi Commercial Bank,1,effective,19-12-2022,Dubai Hills Estate,166,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,DJM Vision,30-08-2025,National Bank of Fujairah PJSC,1,effective,01-07-2024,Jumeirah Garden City,95,0,Al Satwa,
